Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2022-07-08,lato,niskie,0.09,cos_doy,wzrost,0.09,cos_doy – models ocenia ryzyko wezbrania na 9%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2022-07-09,lato,niskie,0.101,cos_doy,wzrost,0.101,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2022-07-10,lato,niskie,0.17,cos_doy,wzrost,0.17,cos_doy – models ocenia ryzyko wezbrania na 17%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 17%.,0,1,0,0
2022-07-11,lato,niskie,0.365,cos_doy,wzrost,0.365,cos_doy – models ocenia ryzyko wezbrania na 36%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 36%.,0,0,0,0
2022-07-12,lato,niskie,0.483,cos_doy,wzrost,0.483,cos_doy – models ocenia ryzyko wezbrania na 48%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 48%.,1,1,0,1
2022-07-13,lato,niskie,0.049,cos_doy,spadek,0.049,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-07-14,lato,niskie,0.122,cos_doy,wzrost,0.122,cos_doy – models ocenia ryzyko wezbrania na 12%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 12%.,0,0,0,0
2022-07-15,lato,niskie,0.158,cos_doy,wzrost,0.158,cos_doy – models ocenia ryzyko wezbrania na 16%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2022-07-16,lato,średnie,0.605,cos_doy,wzrost,0.605,cos_doy – models ocenia ryzyko wezbrania na 60%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 60%.,1,1,1,1
2022-07-17,lato,średnie,0.54,cos_doy,spadek,0.54,cos_doy – models ocenia ryzyko wezbrania na 54%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 54%.,1,1,1,1
